Country,Activity,Location,Sex,Fatal Y/N,Species,Type
AUSTRALIA,Diving related,Elcho Island,M,Yes,,Unprovoked
ITALY,unknown,Borgeo Verezzi,Unknown,Unknown,Invalid,Invalid
GREECE,unknown,Salonika?,Unknown,Yes,,Unprovoked
AUSTRALIA,Fishing related,"Wallamba River, near entrance to Wallis Lake",M,No,"Whaler shark, 4 m [13'] ",Provoked
USA,Swimming related,Galveston,M,Yes,,Unprovoked
USA,Fishing related,Galveston,M,No,4' shark,Provoked
AUSTRALIA,Swimming related,"Ross River, Townsville",M,Yes,2 days later a 600-lb shark was caught 100 yards from the site,Unprovoked
AUSTRALIA,Swimming related,South Cronulla,M,Unknown,Shark involvement prior to death was not confirmed,Invalid
AUSTRALIA,Swimming related,Port Melbourne,M,Unknown,Shark involvement prior to death was not confirmed,Invalid
AUSTRALIA,Swimming related,"Bar Beach, Newcastle",M,Yes,White shark,Unprovoked
AUSTRALIA,Swimming related,Kempsey,M,No,,Unprovoked
AUSTRALIA,Fishing related, Botany Bay ,Unknown,No,,Watercraft
AUSTRALIA,Fishing related,Moreton Island,M,No,"3' ""blue nosed"" shark",Provoked
AUSTRALIA,Other,Port Germein,M,Unknown,Shark involvement prior to death was not confirmed,Invalid
AUSTRALIA,Other,"Lake Conjola, near Milton",M,No,"Grey nurse shark, 8'",Provoked
AUSTRALIA,unknown,,M,No,,Unprovoked
USA,Diving related,"Honokohau, Maui",M,No,6 m [20']  shark,Unprovoked
AUSTRALIA,Other,Brisbane River,Unknown,No,3 m [10'] shark,Watercraft
AUSTRALIA,Fishing related,Newcastle Harbor,Unknown,No,,Provoked
AUSTRALIA,Swimming related,"Throsby Creek, Newcastle",M,Yes,,Unprovoked
AUSTRALIA,Fishing related,Mordialloc,M,Yes,Thought to involve a 12' white shark,Watercraft
AUSTRALIA,Fishing related,Near Thursday Island,M,No,0.9 m [3']  shark,Provoked
VIETNAM,Other,Saigon,M,Yes,,
USA,Swimming related,"Lahaina, Maui",M,No,,Unprovoked
AUSTRALIA,Surfing related,Near Mabuiag Island,M,No,Large tiger shark seen in the vicinity the following morning,Unprovoked
ICELAND,Other,,M,No,,Unprovoked
CANADA,Fishing related,Georges Bank,Unknown,No,"Shovelnose shark, 6 m [20'] ",Provoked
AUSTRALIA,Diving related,Bathurst Island,M,No,,Unprovoked
USA,Fishing related,"Pamlico Sound off Frisco, Dare County",M,No,,Watercraft
USA,Swimming related,"Hollywood Beach, just above Mattapoisett Harbor, Buzzards Bay",M,Yes,White shark (identified by Dr. Hugh Smith) ,Unprovoked
USA,Fishing related,"Long Branch, Monmouth County (offshore)",Unknown,No,"Blue shark, 8' [2.4 m], 500-lb ",Watercraft
AUSTRALIA,Diving related,Off Nepean Island,M,No,,Unprovoked
SOUTH AFRICA,Fishing related,Cape Point,Unknown,No,,Watercraft
AUSTRALIA,Surfing related,Nepean Island,M,Yes,"Tiger shark, 2.4 m [8']",Unprovoked
USA,Swimming related,"Boca Ciega Bay, Pinellas County",M,Yes,,Unprovoked
AUSTRALIA,Diving related,Arlington Reef near Cairns,M,No,"Tiger shark, 4.6 m [15'] ",Unprovoked
AUSTRALIA,Diving related,Arlington Reef near Cairns,M,No,,Unprovoked
USA,Fishing related,"Miami, Miami-Date County",M,No,650-lb shark,Provoked
AUSTRALIA,Boating related,"Near Shelburne Bay, Queenland",M,No,,Unprovoked
AUSTRALIA,Diving related,"Near Forbes Island, Barrier Reef",M,No,,Unprovoked
AUSTRALIA,Boating related,Between Cape Hotham & Darwin (50 miles from Darwin),Unknown,No,,Watercraft
AUSTRALIA,Other,"Angourie, near Yamba",F,No,,Provoked
AUSTRALIA,Other,Brisbane River,M,No,10' shark,Unprovoked
AUSTRALIA,Swimming related,"South Steyne, Manly",M,Yes,White shark,Unprovoked
AUSTRALIA,Swimming related,"West Beach, near Adelaide",M,Yes,White shark,Unprovoked
AUSTRALIA,Surfing related,"Main Beach, Southport",M,Unknown,Shark involvement prior to death was not confirmed,Invalid
AUSTRALIA,Other,North Bondi,M,No,2.3 m [7'] shark,Provoked
AUSTRALIA,Swimming related,"Port Phillip Bay, Port Melbourne",M,Yes,,Unprovoked
AUSTRALIA,Other,150 yards from the pier at Lorne,Unknown,No,4.3 m [14'] shark,Provoked
AUSTRALIA,Diving related,Barrier Reef near Innisfail,M,No,,Unprovoked
USA,Swimming related,"Brown’s Inlet on New River, Onslow Beach",M,Yes,,Unprovoked
PAPUA NEW GUINEA,Swimming related,Hula,M,Yes,,Unprovoked
AUSTRALIA,Boating related,"At Flat Top, near Mackay",M,Yes,3.7 m [12'] shark,Unprovoked
UNITED KINGDOM,Fishing related,Atherfield,M,Unknown,Invalid,Invalid
AUSTRALIA,Diving related,"Near Warrior Reefs, Queensland",M,Yes,,Unprovoked
USA,Fishing related,Santa Barbara Channel,M,Unknown,Invalid,Invalid
USA,Fishing related,Santa Barbara Channel,M,Unknown,Invalid,Invalid
PANAMA,Fishing related,off Culebra,M,Yes,,Unprovoked
CROATIA,Swimming related,"Susak / Fiume (Rijeka, Istria)",F,Yes,,Unprovoked
USA,Fishing related,50 miles offshore,M,No,4.6 m [15'] shark,Unprovoked
SOLOMON ISLANDS,Fishing related,Makira Island,M,Yes,,Unprovoked
AUSTRALIA,unknown,Off Port Broughton,Unknown,No,,Watercraft
PAPUA NEW GUINEA,unknown,"Dobu Passage,  D'Entrecasteaux Islands (between Normanby & Fergusson Islands)",Unknown,No,,Unprovoked
SOUTH AFRICA,Other,"North Pier, Durban",M,No,"White shark, 246-kg ",Provoked
AUSTRALIA,Diving related,On edge of reef near Warrior Island,M,No,1.8 m [6'] shark,Unprovoked
AUSTRALIA,Other,Coogee,M,Unknown,Invalid,Invalid
,Diving related,,F,No,,Unprovoked
USA,unknown,"Hermosa Beach, Los Angeles County",M,No,,Unprovoked
AUSTRALIA,Diving related,Barrier Reef off Mackay,M,No,,Unprovoked
SOUTH AFRICA,Other,"North Pier, Durban",M,No,,Provoked
AUSTRALIA,Diving related,Three Mile Reef off Lizard Island 50 miles north of Cooktown,M,No,Tiger shark 3 m  [10'] ,Unprovoked
AUSTRALIA,Other,Pimpana River,M,No,"""Blue nose shark""",Provoked
AUSTRALIA,Surfing related,Newcastle,M,No,,Unprovoked
AUSTRALIA,Swimming related,Maroubra Beach,M,Yes,"White shark, 4 m [13'] ",Unprovoked
AUSTRALIA,Swimming related,North Narrabeen Beach,M,Yes,"White shark, 3.5 m to 4 m [11.5' to 13'] ",Unprovoked
AUSTRALIA,Surfing related,Austinmer,M,No,,Unprovoked
AUSTRALIA,Fishing related,"Off Ben Buckler, near Sydney",M,No,"Tiger shark, 12' ",Unprovoked
AUSTRALIA,Fishing related,"Ross River, Townsville",Unknown,No,2 sharks,Watercraft
ISRAEL,unknown,Sidny Ali,Unknown,Unknown,Shark involvement prior to death unconfirmed,Invalid
AUSTRALIA,unknown,"Seaforth River, near MacKay",M,Unknown,Invalid,Invalid
AUSTRALIA,Other,George’s River at Kentucky,F,No,"Tiger shark, 1.5 m [5'] ",Unprovoked
AUSTRALIA,Swimming related," St. George’s River at Moorebank, near Milperra Bridge",M,Yes,,Unprovoked
AUSTRALIA,Other,Woy Woy  on the Brisbane Waters,M,Yes,,Unprovoked
AUSTRALIA,Swimming related,Woy Woy on the Brisbane Waters,M,No,,Unprovoked
AUSTRALIA,Swimming related,"Redcliff, Cobourg Peninsula",F,Yes,,Unprovoked
BERMUDA,Fishing related,Hamilton Parish,M,No,,Provoked
AUSTRALIA,Diving related,Warrior Reefs,M,Yes,,Unprovoked
BERMUDA,Fishing related,Nine miles off Frasconi Flats,M,No,1.5 m [5'] shark,Provoked
ITALY,Fishing related,Catania,M,No,"White shark, 4 m [13'] ",Watercraft
ITALY / CROATIA,Swimming related,Kralievica,F,Unknown,Invalid,Invalid
AUSTRALIA,Other,Off Eva Island 20 miles from Cardwell,M,Yes,,Unprovoked
CROATIA,Swimming related,"Susak (Rijeka, Istria)",F,Yes,White shark,Unprovoked
USA,Swimming related,"Thunderbolt, Chatham County",M,No,,Unprovoked
AUSTRALIA,Fishing related,Cronulla,Unknown,No,"Blue pointer, 11' ",Watercraft
AUSTRALIA,Fishing related,Off Mooloolabah,M,No,"A 6.5' ""blue-nosed shark""",Provoked
USA,Swimming related,"Melbourne, Brevard County",M,Yes,,Unprovoked
AUSTRALIA,Surfing related,"Elephant Rock, Currumbin near Southport",M,No,,Unprovoked
SOUTH AFRICA,Swimming related,"Granny’s Pool, Winkelspruit",M,Yes,,Unprovoked
SOUTH AFRICA,Swimming related,"Danger Pool, Winkelspruit",M,No,,Unprovoked
AUSTRALIA,Swimming related,North Steyne,M,Yes,4.3 m [14'] shark seen in vicinity,Unprovoked
AUSTRALIA,Swimming related,"Dee Why, north of Queenscliff ",M,Yes,4 m [13'] shark seen in vicinity,Unprovoked
AUSTRALIA,Fishing related,Cronulla,Unknown,No,"Mako shark, 3.7 m [12'] identified by tooth fragments by G.P. Whitley",Provoked
AUSTRALIA,Other,Adolphus Channel,M,No,3.4 m [11']  tiger shark & a 5' shark,Unprovoked
CHILE,Other,Coquimbo,M,Yes,,Unprovoked
TURKEY,Fishing related,"Haydarpasa jetty, Istanbul",M,No,,Watercraft
AUSTRALIA,Swimming related,"Lambeth Street Wharf, George’s River, East Hills (20 miles from river mouth)",M,No,,Unprovoked
AUSTRALIA,Swimming related,Queenscliff,M,No,4.3 m [14'] shark seen in area previous week,Unprovoked
PHILIPPINES,Diving related,,M,No,,Unprovoked
AUSTRALIA,Diving related,Near Boydong Cay,M,Yes,"Tiger shark, 3.4 m [11'] ",Unprovoked
AUSTRALIA,Diving related,Near Barrow Point,M,No,Tiger shark,Unprovoked
AUSTRALIA,Diving related,Off Bloomfield River,M,No,,Unprovoked
ISRAEL,Fishing related,Nabi Rubin,M,No,3 sharks,Watercraft
USA,Fishing related,"Hermosa Beach, Los Angeles County",M,No,"Blue shark, 4.5 m [14'9""]",Provoked
USA,Swimming related,"Pawley’s Island, north of Charleston",M,No,,Unprovoked
USA,Swimming related,Mystic River,F,No,,Unprovoked
USA,unknown,"San Diego, San Diego County",M,No,Tiger shark,Unprovoked
AUSTRALIA,Diving related,Broome,M,No,,Unprovoked
USA,Other,North end of Morris Island at mouth of Charleston Harbor,M,No,Thought to involve a 2.4 m [8'] lemon shark; two 2.4 m lemon sharks caught within 100 yds of the site a week prior to & a week after this incident,Unprovoked
USA,Swimming related,"Folly Island, near Charleston",F,No,,Unprovoked
AUSTRALIA,Fishing related,Darwin,M,Unknown,Invalid,Invalid
BARBADOS,Other,Off Pelican Island,Unknown,Yes,,Sea Disaster
AUSTRALIA,Fishing related,Off Stradbroke Island,M,No,7' to 8' shark,Provoked
AUSTRALIA,Swimming related,Currumbin,M,No,,Unprovoked
CUBA,Swimming related,"Off Jaimanitas Yacht Club, Havana",M,Yes,,Sea Disaster
USA,Swimming related,"Miami Beach, Miami-Dade County",M,Yes,Possibly a bull shark or tiger shark,Unprovoked
AUSTRALIA,Other,Sydney,M,No,10' shark,Unprovoked
AUSTRALIA,Surfing related,"Barrow Point, 100 miles north of Cooktown, Queensland",M,No,4.4 m [14'] shark,Unprovoked
AUSTRALIA,unknown,Adelaide,Unknown,No,,Watercraft
AUSTRALIA,Fishing related,"Port River, Adelaide",M,No,Blue shark,Provoked
AUSTRALIA,Swimming related,"Strand Beach, Kissing Point, Townsville",M,Yes,,Unprovoked
AUSTRALIA,unknown,Arnhem Land,M,No,,Unprovoked
NEW ZEALAND,Fishing related,Mahurangi River Mouth,M,No,,Provoked
CUBA,Other,,Unknown,Unknown,,Sea Disaster
AUSTRALIA,Swimming related,"Redhead Beach, Newcastle",M,No,Thought to involve a mako or grey nurse shark,Unprovoked
CAPE VERDE,Swimming related,São Vicente ,M,Yes,,Unprovoked
FIJI,Other,Navua,M,No,,Unprovoked
AUSTRALIA,unknown,Bondi,M,No,,Provoked
AUSTRALIA,unknown,Newcastle,M,No,,Provoked
USA,Fishing related,"Offshore, between Mantoloking & Point Pleasant, Ocean County",M,No,16' 800-lb shark,Provoked
AUSTRALIA,Diving related,,M,No,,Unprovoked
BAHAMAS,Other,"Nassau, New Providence Island",M,No,,Provoked
USA,unknown,Galveston,M,Unknown,Shark involvement prior to death unconfirmed,Invalid
CANADA,Fishing related,16 km west of Digby Gut,M,No,Teeth in hull identified as those from a white shark 4.6 m [15'] in length,Watercraft
USA,Fishing related,"10 miles offshore from Sea Isle City, Cape May County",M,No,"250-lb ""dog shark""",Provoked
USA,Fishing related,"Off Ocean City, Cape May County",M,No,,Provoked
FIJI,Diving related,Nabukeru ,F,Yes,,Unprovoked
AUSTRALIA,Diving related,Near Warrior Reefs,M,Yes,,Unprovoked
AUSTRALIA,Diving related,Thursday Island,M,No,,Unprovoked
PHILIPPINES,Swimming related,Fort Mills,M,Yes,,Unprovoked
PHILIPPINES,Swimming related,Fort Mills,F,Yes,,Unprovoked
USA,Swimming related,"1 mile off Mala Wharf, Lahaina, Maui",M,No,,Unprovoked
AUSTRALIA,Fishing related,Calliope River,M,No,,Unprovoked
PHILIPPINES,Other,Fort Mills,M,Yes,,Unprovoked
AUSTRALIA,Swimming related,Ipswich,M,No,A small shark,Unprovoked
AUSTRALIA,Fishing related,Frankston,Unknown,Unknown,Grey nurse shark,Watercraft
MEXICO,Fishing related,Descano Point,M,Yes,,Provoked
SOUTH AFRICA,Other,"Kowie River Mouth, Port Alfred",M,No,"Raggedtooth shark, 1.2 m to 1.5 m [4' to 5'] ",Unprovoked
AUSTRALIA,Diving related,Barrier Reef near Innisfail,M,No,4 m [13'] shark,Unprovoked
JAMAICA,Diving related,"East Beach, Kingston",M,Yes,,Unprovoked
USA,Swimming related,"Municipal Beach, West Palm Beach, Palm Beach County",M,No,,Unprovoked
USA,Swimming related,"Municipal Beach, West Palm Beach, Palm Beach County",F,No,"Hammerhead shark, 2.4 m [8'], according to lifeguard Sam Barrows",Unprovoked
USA,Fishing related,"Kahala, O'ahu",M,Unknown,Shark involvement prior to death unconfirmed,Invalid
CUBA,Swimming related,"Vedado Baths, Miramar, Havana",M,Yes,,Unprovoked
USA,unknown,,M,Unknown,Shark involvement prior to death unconfirmed,Invalid
USA,Fishing related,"1 mile ESE of Navesink, Monmouth County",Unknown,No,,Watercraft
CUBA,Swimming related,"Miramar subdivision, Havana",M,Yes,,Unprovoked
CUBA,Swimming related,"Miramar, Havana",M,Yes,,Unprovoked
USA,Swimming related,Off Brownsville,M,No,,Unprovoked
USA,Swimming related,"Sandy Hook (ocean side), Monmouth County",M,No,,Unprovoked
AUSTRALIA,Boating related,Port Douglas,M,Yes,,Unprovoked
FIJI,Swimming related,Tamavua River,M,No,small sharks,Unprovoked
USA,Swimming related,"Sea Girt, Monmouth County",M,No,,Unprovoked
USA,Fishing related,"Pearl Harbor, O'ahu",M,No,,Unprovoked
USA,Other,"Pearl Harbor, O'ahu",M,No,"Tiger shark, 3 m [10']",Provoked
USA,Other,"Key West, Monroe County ",M,No,6' shark,Unprovoked
AUSTRALIA,unknown,Kempsey,Unknown,No,"""a school of sharks""",Watercraft
,Fishing related,Île Saint-Paul,M,Yes,,Unprovoked
AUSTRALIA,Fishing related,"Ross River, Townsville",M,Yes,,Unprovoked
TURKEY,Fishing related,"Bakurköy, Istanbul",Unknown,No,,Watercraft
AUSTRALIA,Fishing related,Encounter Bay,M,No,"1.8 m [6'] ""cocktail shark",Provoked
AUSTRALIA,Swimming related,Maroubra Beach,M,Unknown,Shark involvement prior to death unconfirmed,Invalid
AUSTRALIA,unknown,Near Thursday Island,M,No,,Unprovoked
AUSTRALIA,Diving related,,M,No,,Unprovoked
AUSTRALIA,Swimming related,"Yeppoon, near Ross Creek",M,No,1.5 m [5'] shark,Unprovoked
TONGA,Swimming related,Niuafo'ou Island ,M,Yes,,Unprovoked
PAPUA NEW GUINEA,unknown,,Unknown,Unknown,,Unprovoked
AUSTRALIA,Swimming related,"Homebush Bay, Parramatta River, Sydney",M,No,,Unprovoked
AUSTRALIA,Boating related,"Sailor Bay, Middle Harbour, Sydney",M,Yes,,Unprovoked
AUSTRALIA,Fishing related,Rosebud,Unknown,No,7 shark's teeth found embedded in the woodwork of the boat,Watercraft
AUSTRALIA,unknown,Parramata River,M,Yes,,Unprovoked
AUSTRALIA,Fishing related,"St. Helena Island, Moreton Bay",M,No,,Unprovoked
HONDURAS,Swimming related,,M,Yes,,Unprovoked
AZORES,unknown,,Unknown,No,,Watercraft
AUSTRALIA,Fishing related,Geraldton,M,No,,Unprovoked
SPAIN,Swimming related,"El Escabonal, Tenerife ",M,No,,Unprovoked
USA,Swimming related,"Palm Beach Inlet, Palm Beach County",M,No,,Unprovoked
CUBA,Swimming related,"LaPlaya Beach / Vedado, Havana",M,No,,Unprovoked
USA,Swimming related,"Jensen Beach, Martin County",M,No,Tiger shark,Unprovoked
AUSTRALIA,unknown,Near Mabuiag Island,M,Yes,,Unprovoked
USA,Swimming related,High Island,M,No,,Unprovoked
TURKEY,Fishing related,Yeşilköy,M,No,,Watercraft
COSTA RICA,Other,Off Porto Limon,Unknown,Unknown,Shark involvement prior to death unconfirmed,Invalid
SOUTH AFRICA,unknown,Bashee River,M,Unknown,Shark involvement prior to death unconfirmed,Invalid
USA,Diving related,70 miles off Tarpon Springs,M,No,,Unprovoked
AUSTRALIA,Diving related,,M,No,,Unprovoked
AUSTRALIA,Diving related,"Middle Brighton, Port Phillip",M,Yes,White shark 4.9 m [16'] ,Unprovoked
AUSTRALIA,Other,Onslow,M,No,,Provoked
MEXICO,Fishing related,Panuco River Mouth,Unknown,Yes,,Watercraft
SOUTH AFRICA,Swimming related,"Melkbaai, False Bay",M,No,"White shark, 4.5 m [14'9""], identity confirmed by witness & tooth pattern",Unprovoked
MAURITIUS,Fishing related,Two miles from shore in Tamarind Bay,M,Yes,,Sea Disaster
OKINAWA,unknown,,M,No,,Unprovoked
SOUTH AFRICA,Swimming related,"North End Beach, Port Elizabeth",M,Yes,,Unprovoked
AUSTRALIA,Diving related,"White Bay, near Bald Rock Jetty, Sydney Harbor ",M,Yes,Tiger shark,Unprovoked
AUSTRALIA,Diving related,Thursday Island,M,No,,Unprovoked
AUSTRALIA,Surfing related,Collaroy,F,No,"""a small shark""",Unprovoked
AUSTRALIA,Diving related,Thursday Island,M,No,,Unprovoked
,unknown,,M,Yes,,Unprovoked
AUSTRALIA,unknown,Townsville,M,Yes,,Unprovoked
KIRIBATI,Other,Nikumaroro Island,M,Yes,,Sea Disaster
CUBA,Fishing related,Cienfuegos,M,No,,Unprovoked
AUSTRALIA,Diving related,Near Badu Island,M,No,,Unprovoked
SPAIN,Fishing related,Nasareth Beach,M,No,,Unprovoked
AUSTRALIA,Other,"Ross River, Townsville",M,Yes,,Unprovoked
USA,Swimming related,Fort Moultrie,M,No,,Unprovoked
MEXICO,Swimming related,Tampico,M,No,,Unprovoked
CAPE VERDE,unknown,Tarrafal,F,Unknown,Shark involvement prior to death unconfirmed,Invalid
USA,Fishing related,"Fort Pierce, St Lucie County",M,No,9-foot shark,Provoked
AUSTRALIA,Diving related,,M,No,,Unprovoked
AUSTRALIA,Diving related,Great Barrier Reef,M,No,,Unprovoked
AUSTRALIA,Diving related,Great Barrier Reef,M,No,,Unprovoked
AUSTRALIA,Other,"Bribie Passage, Caloundra",M,No,"Grey nurse shark, 4' ",Provoked
AUSTRALIA,unknown,Badu Island,M,Yes,,Unprovoked
AUSTRALIA,Swimming related,Badu Island,M,Yes,,Unprovoked
USA,Swimming related,"Sea Spray, Palm Beach",M,No,,Unprovoked
AUSTRALIA,Swimming related,Near Dauan Island,M,Yes,,Unprovoked
AUSTRALIA,Surfing related,Ardrossan,M,No,"""a dog shark""",Unprovoked
AUSTRALIA,Surfing related,Ardrossan,M,No,"""a dog shark""",Unprovoked
AUSTRALIA,Surfing related,Maroubra Bay,M,Yes,,Unprovoked
AUSTRALIA,Boating related,Glenelg,Unknown,No,"Blue pointer, 12'",Watercraft
AUSTRALIA,Swimming related,Bondi,M,Yes,,Unprovoked
AUSTRALIA,Swimming related,"Alma Bay, Magnetic Island, Townsville",M,Yes,,Unprovoked
NEW ZEALAND,Swimming related,"Miranda Head, Hauriki Gulf",F,No,,Unprovoked
AUSTRALIA,Surfing related,Bondi,M,Yes,12' shark,Unprovoked
TURKEY,Fishing related,San Stefano,M,Yes,,Watercraft
FIJI,Diving related,Suva Harbor,M,Yes,,Unprovoked
AUSTRALIA,Swimming related,Sydney Harbor,M,Unknown,Invalid,Invalid
AUSTRALIA,Other,Ardrossan,M,No,"""a dog shark""",Provoked
USA,Fishing related,Indian River area,M,No,9' shark,Provoked
AUSTRALIA,unknown,"Garden Island, Sydney",M,No,,Unprovoked
USA,Diving related,"Cape Canaveral, Brevard County",M,No,,Unprovoked
AUSTRALIA,Diving related,,M,No,,Unprovoked
USA,Fishing related,"Seabright, Monmouth County",M,No,"""Blue nose sharks""",Provoked
INDIA,unknown,,M,No,,Watercraft
USA,Other,"200 miles off Hampton Roads, Virginia, USA",M,Yes,,Sea Disaster
PANAMA,Swimming related,Taboga Island Bay,M,Yes,Moreno’s leg  & part of his swim suit found in 9' shark caught two hours after the attack. Identified as carcharhinid shark by L. Schultz & C. Limbaugh on photograph,Unprovoked
USA,Fishing related,Corpus Christi,M,No,,Unprovoked
USA,unknown,Off shore,M,Unknown,7' shark,Invalid
AUSTRALIA,Diving related,,M,No,,Unprovoked
ITALY,Other,Viareggio,M,No,"Species unknown, possibly a white shark",Provoked
USA,Swimming related,"Daytona Beach, Volusia County",M,No,,Unprovoked
INDIA,unknown,,M,Unknown,Shark involvement not confirmed,Invalid
AUSTRALIA,Fishing related,"Barrow Point, 100 miles north of Cooktown, Queensland",M,No,Tiger shark,Unprovoked
AUSTRALIA,Swimming related,Bondi,M,No,,Unprovoked
JAMAICA,Diving related,"Coal wharf, Port Royal",M,Yes,,Unprovoked
AUSTRALIA,Swimming related,Graceville,M,No,4' shark,Unprovoked
AUSTRALIA,Other,"Cooks Hill, Newcastle",M,Yes,,Unprovoked
AUSTRALIA,unknown,,M,No,,Unprovoked
AUSTRALIA,Diving related,"Near Barrow Point, Queensland",M,Yes,,Unprovoked
COSTA RICA,Swimming related,,F,No,,Unprovoked
COSTA RICA,Swimming related,,M,No,,Unprovoked
AUSTRALIA,Other,Deliverance Island,M,Yes,,Unprovoked
USA,Swimming related,,Unknown,Unknown,Shark involvement not confirmed,Invalid
USA,Swimming related,Off Florida coast,M,Unknown,Shark involvement not confirmed,Invalid
SOUTH AFRICA,unknown,"Salt Vlei, Port Alfred",F,No,,Unprovoked
SOUTH AFRICA,Surfing related,Kei River mouth,M,No,1.2 m [4'] shark,Unprovoked
SOUTH AFRICA,Swimming related,Tugela River Mouth,M,No,,Unprovoked
SOUTH AFRICA,Swimming related,Little Brak River,M,Yes,"White shark, 4.4 m [14.5'] . ",Unprovoked
AUSTRALIA,Other,"Bradleys Head, Sydney ",Unknown,Yes,,Sea Disaster
BRAZIL,Other,90 miles off Albrohos Island,Unknown,Yes,,Sea Disaster
AUSTRALIA,Other,"Kiah Creek, Eden",M,No,,Unprovoked
FIJI,Other,a river,M,No,,Unprovoked
AUSTRALIA,unknown,Bellambi Reef,Unknown,No,,Watercraft
PHILIPPINES,Other,Bondoc Peninsula,Unknown,Yes,,Sea Disaster
AUSTRALIA,Other,Off Cairns,M,Yes,,Unprovoked
AUSTRALIA,Diving related,Near Thursday Island,M,No,,Unprovoked
AUSTRALIA,Diving related,Near Thursday Island,M,No,,Unprovoked
AUSTRALIA,Surfing related,Mereweather Beach,M,No,Grey nurse shark?,Unprovoked
NICARAGUA,Other,"A shark was caught, its head severed from body and hung from the anchor davit onboard the U.S.S. Borie",M,No,,Provoked
AUSTRALIA,Other,Brisbane River,M,No,,Unprovoked
NEW ZEALAND,Fishing related,"Menzies Bay, Banks Peninsula, ",M,No,Mako shark,Provoked
SOUTH AFRICA,Surfing related,Kidd’s Beach,M,No,"Raggedtooth shark, 1.5 m [5'] ",Unprovoked
USA,Swimming related,"Catalina Channel, Los Angeles County",M,No,,Unprovoked
AUSTRALIA,Swimming related,"Grey’s Point, Port Hacking",M,Yes,3.7 m [12'] shark,Unprovoked
AUSTRALIA,Swimming related,15 miles up the Cataract River,M,Yes,,Unprovoked
AUSTRALIA,Diving related,Thursday Island,M,No,,Unprovoked
AUSTRALIA,Diving related,Palm Island,M,Yes,,Unprovoked
AUSTRALIA,Diving related,Near Thursday Island,M,No,,Unprovoked
PAPUA NEW GUINEA,Other,Roku Point,M,Yes,,Unprovoked
AUSTRALIA,Swimming related,Clarence River,M,No,"Grey nurse shark, 4'",Unprovoked
BERMUDA,Other,18 miles southwest of Bermuda ,Unknown,No,,Sea Disaster
PAPUA NEW GUINEA,Other,Near Port Moresby,M,Yes,,Unprovoked
USA,Swimming related,"Seaside, Ocean County",M,Yes,,Unprovoked
ITALY,Swimming related,Varazze,M,Yes,Said to involve 6 to 7 m [20' to 23'] white shark,Unprovoked
USA,Fishing related,20 miles off Seabright,M,No,"""whiptail shark"" (thresher shark?)",Watercraft
USA,Swimming related,"San Francisco Bay (or San Leandro Bay), near cannery, Alameda County",M,No,1.5 m [5'] white shark or sevengill shark,Unprovoked
SPAIN,Swimming related,"Casa Antunez Beach, Barcelona",M,Unknown,"Questionable, 2m shark suspected",Invalid
USA,Swimming related,"Hale'iwa, O'ahu",M,Yes,"White shark, 3.8 m [12.5']  ",Unprovoked
SOUTH ATLANTIC OCEAN,Boating related,Steamship bound from Cape Town to Philadelphia,M,No,,Unprovoked
USA,Swimming related,"Hilo Bay Yacht Club, Hilo, Hawai'i",F,No,"According to Carlsmith, the shark's mouth was 3' wide",Unprovoked
AUSTRALIA,Swimming related,"West Beach, Brighton",F,Yes,"White shark, 3.7 m [12']  ",Unprovoked
SOUTH AFRICA,Swimming related,Hamburg,M,No,"""a blue shark""",Unprovoked
AUSTRALIA,unknown,,M,No,,Unprovoked
MONACO,unknown,,M,Yes,,Unprovoked
NEW ZEALAND,Other,Rarotonga,M,No,,Provoked
SINGAPORE,Other,Sea View Beach,F,Yes,,Unprovoked
SOUTH AFRICA,Swimming related,Mossel Bay,M,Unknown,,Unprovoked
AUSTRALIA,Other,Cottesloe Beach,M,Yes,"Tiger shark, 4 m [13'] female",Unprovoked
USA,unknown,"Condado Beach, San Juan",F,No,,Unprovoked
USA,unknown,"Condado Beach, San Juan",M,No,,Unprovoked
SPAIN,Fishing related,Valencia,M,No,,Provoked
ENGLAND,Fishing related,Off Shanklin,M,No,,Unprovoked
USA,Swimming related,"Folly Island, near Charleston",F,No,,Unprovoked
AUSTRALIA,unknown,"Princess Royal Harbor, near King George’s Sound",Unknown,Unknown,Shark involvement prior to death unconfirmed,Invalid
USA,unknown,"Condado Beach, San Juan",M,No,,Unprovoked
AUSTRALIA,Other,Coogee,M,No,Said to be a “small shark”,Unprovoked
AUSTRALIA,Swimming related,Newcastle Beach,M,Yes,,Unprovoked
PAPUA NEW GUINEA,Swimming related,Hula,M,Yes,,Unprovoked
USA,Swimming related,"Miami Beach, Miami-Dade County",M,No,,Unprovoked
CANADA,Diving related,Second Narrows in Burrard Inlet,M,No,2.1 m [7'] shark,Unprovoked
FIJI,Diving related,"Suva Harbor, Suva",M,No,,Unprovoked
MEXICO,Other,Tampico,F,Yes,1.8 m shark,Unprovoked
PANAMA,Other,Pacific Anchorage off the Panama Canal,M,No,,Unprovoked
USA,Swimming related,Santurce,M,Yes,,Unprovoked
FRENCH POLYNESIA,Diving related,Rangiroa,M,No,,Provoked
AUSTRALIA,Swimming related,Port Melbourne,M,No,10' shark,Unprovoked
