Country,Activity,Location,Sex,Fatal Y/N,Species,Type
INDIA,Fishing related,"Vaitarna River, Palghar District",M,No,"Bull shark, 7'",Unprovoked
TRINIDAD,Fishing related,,M,No,Blacktip reef shark, Provoked
AUSTRALIA,Swimming related,"Elizabeth Bay, Sydney Harbor",F,No,Bull shark,Unprovoked
BAHAMAS,Swimming related,Paradise Island Resort,M,No,,Unprovoked
AUSTRALIA,Surfing related,"Walkers Beach, Elliston",M,No,White shark,Unprovoked
SOUTH AFRICA,Fishing related,Papiesfontein,M,No,Raggedtooth shark,Provoked
USA,Surfing related,"Baby Beach, Maui",M,Yes,,Unprovoked
MEXICO,Diving related,"Tojahui Beach, Yavaros, Huatabampo",M,Yes,White shark,Unprovoked
AUSTRALIA,Surfing related,Ethel Beach,M,Yes,"White shark, 13'",Unprovoked
AUSTRALIA,Surfing related,Old Bar,M,No,,Unprovoked
AUSTRALIA,Surfing related,Wedge Island,M,No,Broze whaler?,Unprovoked
NEW ZEALAND,Swimming related,Riverton,F,No,Sevengill shark,Unprovoked
MEXICO,Swimming related,"Playa Quieta, Ixtapa, Zihuatanejo",M,Yes,Shark involment not confirmed,Questionable
MEXICO,Swimming related,"Playa Quieta, Ixtapa, Zihuatanejo",F,No,Shark involment not confirmed,Questionable
AUSTRALIA,Diving related,1770 ,M,No,,Unprovoked
BAHAMAS,Surfing related,Sandals Resort,F,Yes,,Unprovoked
MEXICO,Swimming related,San Patricio Melaque,F,Yes,,Unprovoked
AUSTRALIA,Swimming related,Clack Island,M,No,1.8m bull shark,Unprovoked
BAHAMAS,Diving related,Tiger Beach,F,Yes,,Unprovoked
AUSTRALIA,Diving related,Port Noarlunga,F,No,,Unprovoked
USA,Swimming related,"Juno Beach, Palm Beach County",M,No,,Unprovoked
AUSTRALIA,Fishing related,Peak Island,M,No,Lemon shark,Unprovoked
NEW ZEALAND,Diving related,Cape Pallister,M,No,White shark,Unprovoked
EGYPT,Diving related,Fury Shoal,M,No,Oceanic whitetip shark,Questionable
AUSTRALIA,Surfing related,Streaky Bay,M,Yes,"White Shark, 4.5 m",Unprovoked
